,word,count
0,a,4
1,about,3
3,after,4
4,all,7
6,am,4
7,an,3
8,and,5
9,animal,7
11,any,3
13,are,4
15,around,3
17,at,4
19,away,3
20,baby,3
22,back,4
24,bad,3
30,be,3
34,because,5
35,bed,3
37,before,3
39,better,3
40,bicycle,3
41,big,8
42,bird,6
44,black,4
45,block,3
49,book,3
50,bottle,5
52,box,3
53,boy,3
55,break,4
56,breakfast,3
64,build,3
67,but,3
70,by,3
73,call,4
76,can,4
77,car,4
80,cat,3
85,chicken,6
86,child,8
87,chocolate,3
91,clock,5
94,cloud,3
98,cold,3
100,cook,3
108,cry,3
109,cup,3
110,cut,3
115,day,4
118,dirty,4
120,do,5
122,does,3
123,dog,8
125,down,3
130,drive,3
132,dry,4
136,each,3
137,ear,4
139,egg,7
143,eye,5
147,fast,3
149,find,3
154,first,3
155,fish,7
159,flower,7
161,foot,5
162,for,5
166,full,4
171,get,3
173,give,3
177,go,3
178,good,4
182,grass,6
183,green,3
185,hair,4
188,hand,5
190,hard,3
192,hate,3
193,have,4
194,he,9
195,head,4
197,heavy,7
199,help,4
201,her,3
202,here,8
207,him,3
208,his,3
209,hit,3
211,home,3
212,horse,3
214,hot,3
215,house,3
216,how,8
220,ice,3
221,if,4
222,into,3
223,is,4
224,it,4
232,knee,4
238,last,3
240,leg,5
242,like,4
245,little,3
247,long,9
248,look,4
249,love,4
252,man,8
253,me,5
254,meat,5
260,money,3
263,moon,3
264,more,3
267,mouth,4
268,much,3
269,my,4
274,new,5
277,night,5
278,no,5
280,nose,4
281,not,8
282,now,3
284,of,4
285,off,3
286,old,5
287,on,5
289,orange,4
290,other,8
292,our,3
293,out,3
295,over,3
298,paper,3
305,people,3
313,plant,3
316,please,3
317,police,3
319,poor,4
330,put,3
333,rain,3
335,red,3
341,salt,3
342,same,3
343,say,3
348,see,4
351,she,3
360,sing,3
362,sister,3
364,sky,3
365,sleep,3
369,snow,4
370,so,3
374,some,8
380,stand,4
381,star,5
383,stick,7
386,stop,5
392,sun,4
396,table,3
397,take,3
398,talk,3
403,that,9
404,the,3
405,their,3
407,then,4
408,there,7
410,they,9
411,think,3
412,this,9
419,to,4
420,today,3
422,tomorrow,3
423,tongue,5
425,too,3
426,tooth,4
429,tree,6
434,up,3
441,walk,3
443,was,4
446,watch,3
447,water,3
448,we,8
450,wet,3
451,what,9
452,when,8
453,where,6
455,white,4
456,who,8
457,why,3
458,will,3
459,wind,4
462,wish,3
463,with,5
464,work,4
468,yellow,3
469,yes,3
472,you,8
473,your,4
