,word,count
188,a,4
319,about,3
321,above,2
826,after,4
1077,all,7
1098,alligator,2
1182,am,4
1286,an,3
1327,and,5
1389,animal,7
1447,another,2
1527,any,3
1598,apple,2
1710,are,4
1738,arm,1
1764,around,3
1852,asleep,1
1937,at,4
2036,aunt,1
2146,away,3
2191,baby,3
2199,babysitter,1
2205,back,4
2246,backyard,2
2251,bad,3
2311,ball,1
2332,banana,1
2462,basket,2
2481,bath,2
2487,bathtub,1
2516,be,3
2517,beach,2
2522,beads,1
2527,bear,2
2549,because,5
2559,bed,3
2571,bedroom,1
2594,before,3
2622,behind,2
2769,better,3
2803,bicycle,3
2817,big,8
2904,bird,6
2936,bite,1
2950,black,4
3040,block,3
3079,blow,1
3092,blue,2
3129,boat,2
3209,book,3
3283,bottle,5
3327,bowl,2
3333,box,3
3338,boy,3
3409,bread,1
3411,break,4
3421,breakfast,3
3488,bring,2
3528,broken,2
3548,brother,2
3553,brown,2
3573,brush,1
3594,bucket,1
3626,bug,1
3635,build,3
3680,bunny,1
3722,bus,2
3743,but,3
3749,butterfly,1
3757,buy,2
3762,by,3
3765,bye,1
3831,cake,2
3871,call,4
3920,camera,1
3934,camping,1
3936,can,4
4037,car,4
4093,careful,1
4148,carry,2
4198,cat,3
4220,catch,1
4389,chair,2
4480,chase,2
4528,cheese,1
4591,chicken,6
4603,child,8
4661,chocolate,3
4873,clap,1
4927,clean,2
4988,climb,1
5013,clock,5
5023,close,2
5027,closet,1
5035,cloud,3
5043,clown,1
5076,coat,2
5121,coffee,2
5148,cold,3
5225,comb,2
5769,cook,3
5773,cookie,2
5821,corn,1
5910,could,2
5945,country,2
5978,cover,2
6013,cracker,1
6043,crayon,1
6207,cry,3
6281,cup,3
6333,cut,3
6335,cute,1
6408,daddy,1
6457,dance,1
6481,dark,2
6534,day,4
6675,deer,1
7218,dinner,2
7249,dirty,4
7346,dish,1
7521,do,5
7532,doctor,2
7550,does,3
7553,dog,8
7628,door,2
7701,down,3
7721,downtown,1
7775,draw,2
7798,dress,1
7810,drink,2
7814,drive,3
7829,drop,1
